config,model,buffer_size,p_reuse,hurst,crossover_point,bifolia_per_quire,tokens_per_page,p_cross_bifolio
vanilla,habit,0.0,0.0,0.455,33118,,,
habit_1,habit,50.0,0.1,0.475,30,,,
habit_2,habit,50.0,0.3,0.492,30,,,
habit_3,habit,50.0,0.5,0.519,538,,,
habit_4,habit,100.0,0.3,0.485,30,,,
habit_5,habit,200.0,0.3,0.475,30,,,
quire_1,quire,,0.3,0.49,30,5.0,160.0,0.0
quire_2,quire,,0.3,0.523,14530,5.0,160.0,0.1
quire_3,quire,,0.5,0.493,236,5.0,160.0,0.1
quire_4,quire,,0.3,0.445,30,3.0,160.0,0.1
quire_5,quire,,0.3,0.462,30,7.0,160.0,0.1
voynich_b,reference,,,0.677,812,,,
