config,n_tokens,n_types,ttr,mean_token_len,char_entropy,cond_char_entropy,hurst
habit_1,34770,5737,0.1649985619787173,4.817917745182629,3.8543937501373424,2.4917843909660484,0.475
habit_2,34715,5746,0.16551922799942387,4.832637188535215,3.8560659555817143,2.486042951176704,0.492
habit_3,34746,5644,0.1624359638519542,4.81960513440396,3.8535328634010484,2.4855742592021333,0.519
habit_4,34721,5663,0.1631001411249676,4.813859047838484,3.8546385330668174,2.492435576429744,0.485
habit_5,34686,5587,0.16107363201291588,4.815083895519806,3.8552819397484086,2.494226546956018,0.475
quire_1,34487,5619,0.1629309594919825,4.835503233102329,3.8576115523540135,2.4952788563686887,0.49
quire_2,34487,5618,0.1629019630585438,4.82222286658741,3.856831086631508,2.499281426313551,0.523
quire_3,34487,5411,0.1568997013367356,4.840577608954098,3.8521404989618224,2.4925288908946226,0.493
quire_4,34487,5607,0.16258300229071823,4.837764954910546,3.8562025396803414,2.4989701217986062,0.445
quire_5,34487,5605,0.16252500942384088,4.82552845999942,3.856447408294137,2.5021732983897045,0.462
vanilla,34756,5785,0.1664460812521579,4.823713891126712,3.8519222306125314,2.4842850801006096,0.455
currier_b,23297,5468,0.2347083315448341,4.822294716057861,3.967656305948338,2.428882273572486,0.677
